pH,Temperature,D.O. (mg/L),Turbidity (NTU),TSS (g/L),NO3-N (mg/L),NH4-N (mg/L),ORP (MV),Conductivity (mS/cm)
6.48,17.09,4.52,95.75,0.15,11.52,23.97,130.8,0.79
6.48,17.06,4.48,95.73,0.15,11.44,24.24,130.16,0.79
6.48,17.04,4.46,95.52,0.15,11.65,23.95,128.88,0.79
6.49,17.02,4.52,95.1,0.15,11.54,24.09,129.26,0.78
6.49,17,4.53,95.03,0.15,11.49,24.23,129.58,0.79
6.5,16.97,4.6,94.52,0.15,11.58,24.19,129.77,0.79
6.51,16.97,4.92,94.17,0.15,11.8,24.09,131.06,0.79
6.53,16.99,5.44,93.76,0.15,11.84,24.33,130.67,0.79
6.56,17.01,6.08,93.7,0.15,12.05,24.25,132.98,0.79
6.59,17.05,6.74,93.78,0.15,12.37,24.03,135.03,0.79
6.63,17.09,7.44,93.98,0.15,12.54,24.12,137.34,0.79
6.68,17.16,8.31,93.9,0.15,12.96,23.65,140.41,0.78
6.73,17.26,9.23,94.31,0.15,13.1,23.82,143.62,0.78
6.78,17.34,9.91,94.01,0.15,13.26,23.7,145.54,0.78
6.85,17.49,10.77,94.29,0.15,13.54,23.55,148.1,0.78
6.95,17.74,11.84,94.89,0.15,13.75,23.62,150.6,0.78
7.04,17.99,12.74,94.85,0.15,13.82,23.76,151.95,0.78
7.12,18.19,13.27,95.09,0.15,14,23.67,151.88,0.78
7.21,18.43,13.79,95.22,0.15,14.14,23.57,150.34,0.78
7.25,18.57,13.8,95.72,0.15,14.27,23.36,149.06,0.78
7.32,18.76,13.93,95.84,0.15,14.3,23.42,149.77,0.78
7.35,18.89,13.85,96.19,0.15,14.44,23.26,149.58,0.78
7.37,18.99,13.61,95.86,0.15,14.5,23.08,149.38,0.78
7.41,19.11,13.54,96.36,0.15,14.71,22.82,149.9,0.78
7.44,19.26,13.47,96.66,0.15,14.94,22.62,149.06,0.78
7.49,19.5,13.53,96.74,0.15,15.04,22.59,148.36,0.78
7.53,19.67,13.38,97.11,0.15,15.01,22.66,146.56,0.78
7.56,20.01,13.27,97.09,0.15,15.02,22.74,145.73,0.78
7.56,20.3,12.99,97.47,0.15,15.25,22.56,144.51,0.78
7.55,20.55,12.65,97.31,0.15,15.03,22.94,143.42,0.78
7.53,20.72,12.28,97.6,0.15,15.08,22.83,142.4,0.78
7.54,20.94,12.05,97.78,0.15,15.09,22.93,141.69,0.78
7.53,21.04,11.7,98.08,0.15,15.04,22.86,140.99,0.78
7.52,21.15,11.42,98.33,0.15,15.09,22.85,139.83,0.78
7.5,21.22,11.16,98.42,0.15,15.02,22.93,138.49,0.78
7.49,21.27,10.92,98.83,0.15,15.14,22.78,137.02,0.78
7.47,21.3,10.67,99.03,0.15,15.21,22.82,135.61,0.78
7.43,21.28,10.3,99,0.14,15.11,22.89,135.22,0.78
7.39,21.24,9.98,99.12,0.15,15.16,22.74,134.77,0.78
7.36,21.2,9.72,99.51,0.14,15.25,22.59,135.48,0.78
7.31,21.14,9.41,99.38,0.14,15.2,22.81,134.13,0.78
7.23,21.03,8.89,99.13,0.14,15.08,22.69,132.34,0.78
7.13,20.77,8.24,98.95,0.14,14.74,22.73,132.85,0.77
7.04,20.54,7.72,98.33,0.15,14.64,22.48,133.04,0.77
6.98,20.33,7.26,98.32,0.15,14.64,22.44,131.06,0.77
6.92,20.08,6.83,98.22,0.15,14.65,22.36,129.65,0.77
6.86,19.84,6.44,98.76,0.15,14.55,22.51,129.2,0.77
6.81,19.61,6.09,98.45,0.15,14.65,22.37,128.56,0.77
6.77,19.4,5.76,98.67,0.15,14.54,22.61,128.49,0.77
6.72,19.2,5.49,98.74,0.15,14.47,22.74,128.17,0.77
6.69,19.03,5.24,99.18,0.15,14.5,22.85,127.72,0.78
6.66,18.85,5.04,99.43,0.15,14.6,22.84,127.66,0.78
6.64,18.67,4.85,99.64,0.15,14.51,23.02,127.98,0.78
6.61,18.49,4.69,99.56,0.15,14.61,22.95,128.3,0.78
6.59,18.33,4.55,99.9,0.15,14.57,23.11,128.43,0.78
6.58,18.16,4.45,99.97,0.15,14.56,23.16,128.36,0.78
6.57,17.96,4.37,99.79,0.15,14.72,23.12,128.3,0.78
6.55,17.75,4.3,99.9,0.15,14.61,23.3,128.43,0.78
6.54,17.57,4.25,100.16,0.15,14.71,23.3,128.36,0.78
6.54,17.42,4.21,100.27,0.15,14.71,23.46,129.13,0.78
6.53,17.28,4.19,100.19,0.15,14.69,23.61,129.52,0.78
6.52,17.14,4.17,100.53,0.15,14.75,23.58,130.61,0.78
6.52,17.03,4.16,100.28,0.15,14.82,23.72,130.41,0.78
6.52,16.92,4.16,100.53,0.15,14.9,23.85,131.06,0.78
6.51,16.81,4.18,100.38,0.15,14.81,23.92,130.16,0.78
6.51,16.67,4.24,100.55,0.15,14.74,24.07,129.84,0.78
6.51,16.54,4.27,100.47,0.15,14.89,23.97,129.77,0.79
6.51,16.42,4.28,100.6,0.16,14.92,24.12,129.84,0.79
6.51,16.29,4.3,100.54,0.16,14.82,24.39,129.97,0.79
6.51,16.17,4.31,100.53,0.15,14.97,24.28,129.97,0.79
6.51,16.02,4.32,100.46,0.16,14.94,24.38,129.26,0.79
6.51,15.86,4.37,100.47,0.15,15.18,24.18,129.13,0.79
6.51,15.71,4.43,100.19,0.16,15.11,24.4,129.32,0.79
6.51,15.57,4.47,100.43,0.16,15.24,24.24,129.39,0.79
6.51,15.43,4.5,100.31,0.16,15.3,24.4,129.07,0.79
6.52,15.28,4.53,100.27,0.15,15.31,24.5,129.07,0.79
6.52,15.14,4.56,100.28,0.15,15.24,24.66,129.39,0.79
6.52,15.01,4.59,100.26,0.16,15.35,24.68,128.94,0.79
6.52,14.87,4.62,100.14,0.16,15.4,24.72,128.88,0.79
6.53,14.72,4.65,100.01,0.15,15.5,24.69,128.68,0.79
6.53,14.59,4.68,99.87,0.16,15.43,24.98,128.17,0.79
6.53,14.45,4.71,99.88,0.16,15.5,24.87,127.66,0.79
6.53,14.32,4.74,99.83,0.16,15.47,25.1,127.59,0.79
6.54,14.19,4.78,99.7,0.16,15.62,25.06,127.15,0.79
6.54,14.06,4.82,99.66,0.16,15.6,25.15,126.95,0.79
6.54,13.93,4.86,99.46,0.16,15.63,25.24,126.57,0.79
6.55,13.82,4.9,99.09,0.16,15.67,25.32,125.54,0.8
6.55,13.7,4.93,99.24,0.16,15.62,25.47,125.61,0.8
6.56,13.59,4.96,99.22,0.16,15.91,25.29,125.48,0.8
6.56,13.47,4.99,98.88,0.16,15.82,25.5,125.16,0.8
6.56,13.35,5.02,98.94,0.16,15.85,25.52,124.84,0.8
6.57,13.23,5.05,98.63,0.16,15.7,25.95,124.01,0.8
6.58,13.11,5.08,98.65,0.16,15.82,25.97,124.01,0.8
6.58,13,5.11,98.21,0.16,15.82,26.05,123.3,0.8
6.59,12.9,5.14,98.41,0.16,15.87,26.12,123.11,0.8
6.59,12.81,5.18,98.26,0.16,15.97,26.19,122.66,0.8
6.6,12.72,5.23,98.23,0.15,15.85,26.53,122.6,0.8
6.6,12.63,5.3,97.96,0.16,15.95,26.53,122.34,0.8
6.61,12.53,5.35,97.78,0.16,16.09,26.47,121.57,0.8
6.62,12.44,5.44,97.99,0.15,16.07,26.67,121.63,0.8
6.63,12.37,5.58,97.64,0.16,16.13,26.81,121.89,0.8
6.64,12.29,5.8,97.52,0.16,16.16,26.94,123.04,0.8
6.65,12.24,6.07,97.03,0.16,16.24,27.06,123.75,0.8
6.67,12.19,6.37,96.85,0.16,16.39,27.1,123.81,0.8
6.68,12.16,6.68,96.87,0.16,16.54,26.99,124.39,0.8
6.71,12.15,7.12,96.75,0.16,16.49,27.36,125.35,0.8
6.74,12.21,7.85,96.87,0.16,16.63,27.45,125.99,0.8
6.79,12.33,8.67,96.57,0.16,16.91,27.44,127.15,0.8
6.84,12.5,9.57,96.67,0.16,17.06,27.6,128.68,0.8
6.9,12.7,10.5,96.88,0.16,17.24,27.66,130.35,0.8
6.98,12.96,11.48,97.1,0.16,17.28,27.97,133.23,0.8
7.07,13.27,12.48,97.04,0.16,17.36,28.09,135.48,0.8
7.17,13.63,13.53,97.38,0.16,17.49,28.17,137.08,0.8
7.27,13.87,14.22,97.49,0.15,17.32,28.41,136.69,0.8
7.36,14.1,14.69,97.88,0.15,17.58,28.15,135.41,0.8
7.44,14.34,15.1,98.01,0.15,17.74,27.88,133.04,0.8
7.52,14.57,15.39,98.07,0.15,17.8,27.84,132.79,0.8
7.57,14.66,15.32,98.52,0.15,17.69,27.98,130.16,0.8
7.59,14.71,15.17,98.66,0.15,17.69,27.86,126.57,0.8
7.62,14.75,14.99,98.89,0.15,17.82,27.68,125.1,0.8
7.63,14.78,14.82,98.59,0.15,17.75,27.73,125.22,0.8
7.67,14.9,14.78,98.99,0.15,18,27.35,124.65,0.8
7.73,15.23,14.93,98.95,0.15,18.15,27.17,123.49,0.8
7.78,15.5,14.98,99.32,0.15,18,27.53,120.87,0.8
7.8,15.68,14.88,99.2,0.15,18.08,27.46,117.34,0.8
7.8,15.77,14.67,99.57,0.15,18.01,27.46,112.92,0.8
7.81,15.8,14.41,99.5,0.15,18.18,27.22,113.18,0.8
7.82,15.85,14.25,99.86,0.15,18.23,27.1,111.12,0.8
7.84,15.94,14.13,99.75,0.15,18.31,26.89,110.68,0.8
7.82,15.96,13.87,99.79,0.15,18.09,27.29,108.88,0.8
7.81,15.97,13.55,99.85,0.15,18.14,27.15,109.97,0.8
7.8,15.97,13.31,99.98,0.15,18.39,26.8,111.77,0.8
7.79,15.98,13.07,100.05,0.15,18.2,27.07,110.23,0.8
7.73,15.95,12.63,100.07,0.15,18.23,26.95,108.82,0.8
7.7,15.94,12.36,100.06,0.15,18.26,26.82,109.52,0.8
7.68,15.93,12.15,100.21,0.15,18.25,26.89,109.2,0.8
7.64,15.91,11.83,100.21,0.15,18.19,26.98,109.27,0.8
7.59,15.88,11.45,100.27,0.15,18.06,27.14,110.1,0.8
7.53,15.85,11.08,100.13,0.15,18.08,27.03,111.77,0.8
7.46,15.79,10.61,100.12,0.15,18.03,27.21,112.15,0.8
7.38,15.72,10.16,99.76,0.15,18.16,26.91,113.82,0.8
7.3,15.65,9.67,99.62,0.15,18,26.97,115.16,0.8
7.23,15.57,9.14,99.63,0.15,17.79,27.31,115.8,0.8
7.16,15.49,8.68,99.75,0.15,17.86,27.3,116.19,0.8
7.1,15.41,8.26,99.88,0.15,17.79,27.37,116.89,0.8
7.06,15.34,7.89,99.89,0.15,17.77,27.42,117.34,0.8
7.01,15.3,7.58,99.96,0.15,17.59,27.82,118.17,0.8
6.97,15.23,7.29,100.14,0.15,17.72,27.74,119.33,0.81
6.93,15.15,7.05,100.23,0.15,17.69,27.73,120.22,0.81
6.9,15.06,6.83,100.49,0.15,17.72,27.8,120.55,0.81
6.87,14.97,6.64,100.38,0.15,17.68,28.02,120.03,0.81
6.85,14.87,6.48,100.7,0.15,17.74,27.95,120.8,0.81
6.82,14.77,6.34,100.79,0.15,17.74,28.03,119.84,0.81
6.8,14.68,6.22,100.79,0.15,17.75,28.11,119.33,0.81
6.78,14.58,6.13,101.16,0.15,17.82,28.19,119.33,0.81
6.77,14.49,6.04,101.16,0.15,17.88,28.27,118.17,0.81
6.76,14.4,5.97,101.22,0.15,17.89,28.27,117.66,0.81
6.74,14.31,5.9,101.19,0.15,17.91,28.27,117.79,0.81
6.73,14.22,5.85,101.35,0.15,17.87,28.49,118.05,0.81
6.72,14.13,5.81,101.3,0.15,17.99,28.41,117.79,0.81
6.72,14.04,5.78,101.32,0.15,18.01,28.48,118.3,0.81
6.71,13.96,5.75,101.59,0.15,18.03,28.55,118.05,0.81
6.7,13.86,5.72,101.57,0.15,17.99,28.78,118.11,0.81
6.69,13.78,5.71,101.46,0.15,18.21,28.63,117.47,0.81
6.69,13.69,5.68,101.53,0.15,18.13,28.93,117.47,0.81
6.68,13.6,5.66,101.58,0.15,18.35,28.69,117.41,0.81
6.68,13.53,5.65,101.48,0.15,18.32,28.84,117.53,0.81
6.68,13.45,5.67,101.7,0.15,18.26,29.12,117.85,0.81
6.68,13.4,5.69,101.6,0.15,18.26,29.25,118.11,0.81
6.67,13.35,5.7,101.33,0.16,18.41,29.06,117.98,0.81
6.67,13.29,5.72,101.45,0.15,18.46,29.18,117.79,0.81
6.67,13.22,5.74,101.36,0.16,18.3,29.47,117.85,0.81
6.67,13.15,5.76,101.28,0.15,18.48,29.38,117.53,0.82
6.67,13.09,5.77,101.1,0.15,18.67,29.2,117.66,0.82
6.67,13.02,5.78,101.34,0.16,18.41,29.64,117.79,0.82
6.67,12.97,5.8,101.12,0.16,18.61,29.46,117.53,0.82
6.67,12.91,5.81,100.95,0.16,18.6,29.59,117.85,0.82
6.67,12.83,5.8,101,0.16,18.69,29.49,118.69,0.82
6.67,12.76,5.8,100.78,0.16,18.82,29.4,118.17,0.82
6.68,12.68,5.81,100.95,0.16,18.86,29.54,118.05,0.82
6.67,12.62,5.82,100.71,0.16,18.74,29.83,118.49,0.82
6.67,12.57,5.84,100.81,0.15,18.9,29.65,117.92,0.82
6.67,12.52,5.84,100.67,0.16,18.8,30,118.17,0.82
6.68,12.47,5.85,100.62,0.16,18.96,29.89,117.73,0.82
6.68,12.42,5.87,100.33,0.16,18.8,30.25,117.47,0.82
6.68,12.36,5.89,100.35,0.16,18.85,30.38,116.96,0.82
6.68,12.3,5.93,100.2,0.15,18.95,30.44,116.89,0.82
6.69,12.24,5.97,100.2,0.16,19,30.41,116.25,0.82
6.69,12.17,6.02,100.01,0.16,19.03,30.47,116.25,0.82
6.69,12.1,6.04,99.9,0.16,19.07,30.61,116,0.82
6.69,12.03,6.06,99.92,0.16,18.95,30.91,115.93,0.82
6.7,11.97,6.1,99.94,0.16,19.15,30.73,115.42,0.82
6.7,11.9,6.12,99.86,0.16,19.09,30.94,114.59,0.82
6.7,11.84,6.13,99.83,0.16,19.24,30.77,114.52,0.82
6.7,11.76,6.15,99.39,0.16,19.32,30.83,115.03,0.82
6.71,11.69,6.19,99.62,0.16,19.25,31.14,115.16,0.82
6.72,11.63,6.32,99.61,0.16,19.19,31.29,115.35,0.82
6.73,11.57,6.52,99.31,0.16,19.34,31.19,115.74,0.82
6.74,11.52,6.82,99.28,0.16,19.35,31.48,116.19,0.82
6.76,11.47,7.16,99.19,0.16,19.73,31.11,116.89,0.83
6.77,11.43,7.46,99.02,0.16,19.8,31.15,117.53,0.83
6.8,11.42,7.88,98.72,0.16,19.79,31.4,117.85,0.83
6.83,11.49,8.55,98.67,0.16,20.07,31.27,118.81,0.83
6.88,11.6,9.3,98.8,0.16,20.19,31.25,119.65,0.83
6.93,11.77,10.1,98.91,0.16,20.13,31.85,120.29,0.83
6.98,11.98,10.96,99.03,0.16,20.3,31.74,121.25,0.83
7.06,12.25,11.86,99.01,0.16,20.19,32.24,122.15,0.82
7.14,12.56,12.76,99.22,0.15,20.22,32.38,122.79,0.82
7.24,12.9,13.64,99.17,0.15,20.4,32.23,123.56,0.82
7.34,13.28,14.48,99.42,0.15,20.56,32.14,123.36,0.82
7.45,13.66,15.19,99.45,0.15,20.5,32.2,121.96,0.82
7.56,14.05,15.7,100.11,0.15,20.4,32.43,119.78,0.82
7.65,14.44,16.04,100.13,0.15,20.63,32.07,116.32,0.82
7.73,14.81,16.22,100.4,0.15,20.85,31.81,112.21,0.82
7.79,15.19,16.3,100.43,0.15,20.84,31.8,108.75,0.82
7.84,15.55,16.29,100.61,0.15,20.98,31.56,106.38,0.82
7.87,15.89,16.24,100.62,0.15,21.11,31.42,103.95,0.82
7.9,16.23,16.12,100.76,0.15,20.95,31.68,100.81,0.81
7.93,16.55,15.95,100.74,0.15,21.17,31.31,98.76,0.81
7.94,16.86,15.75,100.6,0.15,21.21,31.2,98.31,0.81
7.95,17.13,15.48,101.14,0.15,21.31,31.04,98.56,0.81
7.95,17.38,15.21,101.05,0.15,21.35,30.82,97.41,0.81
7.95,17.63,14.92,101.44,0.15,21.22,31,96.32,0.81
7.95,17.85,14.54,101.67,0.15,21.27,30.89,94.21,0.81
7.93,18.03,14.13,101.88,0.15,21.18,30.81,93.76,0.81
7.91,18.18,13.72,102.06,0.15,21.16,30.92,94.46,0.81
7.89,18.28,13.33,102.17,0.15,21.09,30.83,95.23,0.81
7.85,18.35,12.94,102.31,0.15,21.22,30.53,92.54,0.81
7.82,18.39,12.54,102.46,0.15,21.32,30.35,90.94,0.81
7.78,18.4,12.16,102.81,0.15,21.34,30.25,92.09,0.81
7.74,18.39,11.77,102.9,0.15,21.33,30.11,93.44,0.81
7.66,18.35,11.33,102.72,0.15,21.45,29.84,95.23,0.81
7.57,18.27,10.76,102.89,0.15,21.43,29.75,98.5,0.81
7.48,18.19,10.19,102.1,0.15,21.34,29.74,101.77,0.81
7.38,18.1,9.66,101.95,0.15,21.53,29.29,104.4,0.82
7.3,18,9.14,102.39,0.15,21.27,29.44,109.07,0.82
7.22,17.89,8.65,102.09,0.15,21.32,29.38,114.33,0.82
7.14,17.79,8.16,102.28,0.15,21.16,29.46,117.73,0.82
7.06,17.67,7.63,102.11,0.15,21.2,29.33,120.8,0.82
7,17.55,7.45,102.56,0.15,21.24,29.28,121.63,0.82
6.94,17.41,6.75,102.23,0.15,21.11,29.55,120.87,0.82
6.88,17.28,6.38,102.19,0.15,21.2,29.43,120.99,0.82
6.84,17.1,6.07,102.76,0.15,21.23,29.36,120.93,0.82
6.8,16.91,5.82,102.81,0.15,21.21,29.51,119.9,0.82
6.77,16.74,5.57,102.89,0.15,21.32,29.42,117.98,0.82
6.74,16.55,5.36,102.94,0.15,21.29,29.51,116.76,0.82
6.71,16.35,5.19,103.14,0.15,21.32,29.59,115.87,0.82
6.69,16.18,5.07,103.2,0.15,21.24,29.66,116.06,0.82
6.67,16.03,4.95,103.18,0.15,21.43,29.56,116.19,0.82
6.65,15.88,4.84,103.5,0.15,21.56,29.38,116.44,0.82
6.63,15.72,4.75,103.52,0.15,21.52,29.58,116.25,0.82
6.62,15.57,4.68,103.75,0.15,21.47,29.63,117.41,0.82
6.61,15.4,4.62,103.61,0.15,21.58,29.54,117.66,0.82
6.59,15.24,4.57,103.72,0.15,21.47,29.83,117.79,0.83
6.59,15.08,4.57,103.78,0.15,21.58,29.65,117.85,0.83
6.58,14.93,4.55,103.65,0.16,21.66,29.63,117.98,0.83
6.57,14.8,4.55,103.49,0.16,21.64,29.73,118.17,0.83
6.57,14.65,4.54,103.64,0.15,21.95,29.32,117.98,0.83
6.56,14.5,4.54,103.51,0.16,21.56,29.98,118.05,0.83
6.56,14.36,4.54,103.3,0.16,21.7,29.78,118.56,0.83
6.55,14.22,4.53,103.46,0.15,21.9,29.59,118.43,0.83
6.55,14.08,4.54,103.28,0.16,21.87,29.63,118.49,0.83
6.54,13.94,4.54,103.61,0.16,21.84,29.82,118.37,0.83
6.54,13.8,4.55,103.26,0.16,21.8,29.94,118.62,0.83
6.54,13.66,4.57,103.32,0.16,21.83,29.98,118.62,0.83
