pH,Temperature (°C),D.O. (mg/L),Cell Count (million per mL),NO3-N (mg/L),NH4-N (mg/L),ORP (MV),Conductivity (mS/cm),Turbidity (NTU)
6.35,20.24,8.54,0.7,45.92,5.51,249.1,0.73,52.37
5.6,19.43,8.5,0.55,44.44,5.96,255.19,0.76,53.39
9.49,19.62,11.48,0.66,38.45,4.3,105.42,0.74,66.25
8.31,20.35,11.34,0.9,40.96,6.18,98.05,0.79,60.69
8.32,21.47,11.31,0.86,42.71,6.41,102.73,0.81,56.47
8.4,23.07,11.23,0.72,45.89,6.65,95.04,0.82,52.2
8.05,23.03,9.94,0.41,46.75,7.4,96.58,0.84,46.23
7.77,24.39,8.66,0.5,49.31,8.04,94.21,0.85,50.38
7.69,25.88,8.1,0.63,52.25,8.4,95.3,0.87,49.73
7.89,26.77,9.29,0.65,53.93,7.87,117.15,0.89,55.68
7.98,26.53,9.02,0.66,56.15,8.22,104.46,0.9,55.94
8.61,24.07,5.84,1.52,7.57,87.71,43.45,1.59,116.45
8.68,24.76,10.18,2.5,15.84,68.28,79.21,1.44,93.1
8.56,24.23,9.58,1.8,19.96,46.32,94.72,1.31,101.74
6.47536,27.08,8.63,0.73,51.84,8.88,148.74,0.86,46.41
6.44075,27.39,8.54,0.98,49.59,9.3,154.38,0.84,39.88
6.02068,27.6,8.64,0.81,57.24,10.63,176.75,0.91,38.66
6.28532,25.64,9.24,0.87,62.64,11.45,173.29,0.97,64.27
6.40262,23.21,9.85,0.78,73.57,12.47,160.98,1.15,66.7
5.97481,24.76,7.71,0.62,87.44,9.67,189.76,1.33,70.54
6.87095,27.09,10.05,0.79,93.45,9.47,187.77,1.45,57.88
6.62836,20.61,6.16,1.07,94.18,8.26,225.58,1.55,67.82
6.57699,22.78,8.47,0.77,91.76,5.11,245.45,1.66,74.25
6.60211,23.76,8.73,1.0,99.82,2.71,212.64,1.78,66.06
7.24922,26.11,2.5,1.13,89.27,1.84,162.97,1.92,109.17
8.46,23.75,10.94,1.07,70.23,0.89,65.88,1.88,117.94
8.72,22.75,10.81,1.24,77.31,1.11,-25.63,2.04,123.01
7.75,24.35,6.93,0.88,59.97,2.55,58.45,2.06,69.36
8.7,26.33,11.43,0.28,47.44,7.15,31.66,2.12,63.07
9.37,24.18,13.44,0.66,47.89,9.39,47.74,2.17,69.03
9.37,23.61,12.13,0.8,26.42,3.01,30.63,2.23,110.4
8.87,22.8,14.8,0.63,16.88,3.67,18.33,1.7,78.48
9.41,24.28,13.39,1.01,18.12,5.39,-26.28,1.88,93.52
9.11,24.28,12.07,1.11,17.47,6.67,8.2,2.12,111.59
8.92,21.24,12.12,1.03,16.84,7.6,2.56,2.3,113.28
8.73,23.53,13.93,1.2,18.81,7.63,26.15,2.41,99.85
8.86,21.99,13.47,1.06,19.4,8.12,19.23,2.5,114.59
9.29,21.51,13.02,1.06,19.35,8.65,21.98,2.49,110.7
9.54,22.92,10.57,1.12,13.9,9.62,-18.26,2.07,93.81
9.59,25.6,14.64,0.71,12.31,9.3,-13.33,1.87,97.54
9.86,25.73,12.64,1.63,10.89,9.58,-17.11,1.85,137.69
9.82,23.61,12.8,1.75,8.87,10.39,-12.69,1.74,134.66
9.77,21.1,14.91,1.78,8.04,11.13,5.38,1.78,131.98
8.66,24.11,10.7,1.18,7.54,11.23,16.02,1.8,133.61
8.94,24.7,15.29,1.92,6.76,11.2,10.51,1.79,126.9
9.23,23.42,14.5,1.39,5.85,11.72,3.97,1.79,128.88
9.0,23.86,9.0,1.69,7.2,12.14,-4.17,1.86,158.35
8.22,19.71,8.51,1.4,7.45,13.16,31.79,1.79,146.22
8.44,22.46,12.51,1.57,8.26,12.81,28.2,1.7,138.91
8.6,24.21,11.67,0.1,3.59,13.22,32.17,0.67,62.26
9.28,19.37,13.71,0.33,5.86,17.11,-20.89,1.14,116.58
9.35,20.12,13.81,0.62,6.28,17.49,-19.1,1.25,121.21
7.92,21.12,9.86,0.41,7.56,17.62,24.29,1.38,110.84
9.19,20.23,14.63,0.68,6.59,17.46,13.2,1.19,106.34
9.59,15.07,14.87,0.84,6.92,18.47,34.48,1.36,114.96
9.22,16.92,11.45,0.7,7.83,19.67,-36.4,1.58,104.59
8.08,19.91,12.38,0.77,10.04,18.52,43.19,1.69,100.45
9.31,16.99,15.76,0.61,4.8,19.79,7.24,1.33,129.63
9.55,19.45,15.15,1.02,5.68,19.83,-11.28,1.43,158.76
9.42,14.19,15.69,2.07,10.41,0.79,-12.95,1.53,173.85
9.61,18.34,15.31,2.6,11.67,0.1,-16.09,1.65,218.55
9.57,18.04,14.16,2.8,11.8,0.1,-15.38,1.69,230.04
8.2,16.01,13.83,1.38,15.86,1.51,34.86,1.71,125.92
8.17,18.91,13.82,2.13,20.1,0.1,45.63,1.79,162.33
7.99,20.69,12.15,0.71,21.79,0.1,50.05,1.84,136.82
9.45,16.04,15.36,1.1,20.54,0.1,-10.25,1.79,93.24
8.77,15.23,15.23,0.77,20.55,0.1,29.03,1.85,90.18
8.32,15.68,15.29,1.32,20.55,0.1,26.02,1.97,99.62
8.38,15.85,15.14,1.36,21.58,0.1,45.95,2.03,99.57
8.23,15.84,13.06,0.8,24.77,0.1,34.29,2.36,106.86
7.68,15.8,11.05,0.65,23.88,0.11,17.43,2.31,98.39
7.72,12.69,12.29,0.37,23.73,0.1,16.28,2.53,92.62
7.41,16.04,7.1,0.17,23.5,0.48,14.61,2.58,70.96
7.76,10.16,13.17,0.27,19.19,1.1,13.33,2.66,68.91
7.76,11.53,12.68,0.33,16.45,0.85,39.6,2.66,77.83
7.87,14.04,8.48,0.32,14.61,1.28,60.95,2.56,77.53
7.96,12.62,7.88,0.48,12.97,1.9,86.39,2.64,74.92
7.69,13.24,6.62,0.68,19.6,1.97,49.15,2.65,74.19
7.57,14.7,4.9,0.42,19.43,3.82,111.96,2.62,65.97
7.76,17.72,6.36,0.55,21.02,1.32,9.42,2.54,73.97
7.5,11.87,6.55,0.27,21.66,0.48,129.77,2.73,71.6
7.44,15.14,5.1,0.5,22.52,1.11,212.32,2.69,67.57
7.54,17.08,5.96,0.68,21.2,1.44,178.29,2.59,65.34
7.52,12.74,7.36,0.57,23.04,0.61,345.16,2.44,62.18
7.46,11.44,7.34,0.96,20.91,0.56,348.75,2.37,69.42
7.62,15.91,6.78,0.72,19.56,1.17,253.33,2.16,74.33
7.56,12.4,7.88,1.14,19.95,0.81,210.2,2.22,74.31
7.5,14.84,7.17,1.4,20.98,1.21,193.09,2.23,77.83
7.51,18.45,6.95,1.77,19.7,2.15,185.85,2.24,84.31
7.65,10.27,9.11,2.18,19.93,0.89,137.4,2.43,97.98
7.59,10.21,8.38,2.47,20.77,1.03,119.97,2.48,89.1
7.6,12.07,8.83,2.64,20.77,1.52,129.58,2.48,80.95
7.64,9.69,10.29,3.55,19.73,1.26,116.06,2.54,94.47
7.66,13.95,9.62,3.11,20.19,2.17,129.13,2.59,91.79
7.45,12.65,9.29,3.84,21.67,2.27,117.6,2.64,94.16
