Date,pH,Temperature (°C),D.O. (mg/L),Turbidity (NTU),TSS (g/L),NO3-N (mg/L),NH4-N (mg/L),ORP (MV),Conductivity (mS/cm)
44086.36111,6.25759,14.3681,7.12503,80.9261,0.151461,53.0322,12.6796,132.657,1.07699
44086.37153,6.28732,14.6077,7.70907,80.8443,0.151353,52.8162,12.6595,133.746,1.07657
44086.38194,6.3217,14.8678,8.1904,80.8347,0.150447,51.2893,13.0494,135.669,1.07555
44086.39236,6.38191,15.2769,9.014,80.6701,0.148288,50.852,13.3418,138.553,1.07461
44086.40278,6.43277,15.7393,9.74168,80.9079,0.147237,51.2901,13.2278,141.18,1.07305
44086.41319,6.48122,16.2374,10.4757,80.9656,0.145971,52.0862,13.0436,143.872,1.07207
44086.42361,6.55268,16.7743,11.2262,80.9823,0.144735,52.1237,12.995,146.627,1.07091
44086.43403,6.60414,17.2154,11.7796,81.3883,0.14541,52.2512,12.8827,150.024,1.06966
44086.44444,6.66361,17.7515,12.4861,82.1712,0.145971,52.306,12.8102,154.125,1.06878
44086.45486,6.69295,18.2627,13.0744,81.8318,0.146086,52.689,12.7279,158.419,1.06809
44086.46528,6.73362,18.7355,13.527,81.9032,0.147248,52.8591,12.6529,162.713,1.0674
44086.47569,6.7558,19.1764,13.8407,82.3251,0.147948,53.3811,12.4561,167.391,1.06703
44086.48611,6.77446,19.5853,14.0207,82.8035,0.147295,52.7296,12.5948,172.005,1.06682
44086.49653,6.7999,19.9621,14.0581,82.797,0.148065,53.0031,12.5144,175.979,1.06646
44086.50694,6.79444,20.3273,13.8962,83.0699,0.148145,53.3341,12.4494,180.401,1.06647
44086.51736,6.80151,20.6545,13.9828,83.5185,0.149647,53.2548,12.4089,183.733,1.06578
44086.52778,6.81312,20.9825,13.8181,83.8853,0.150128,53.1505,12.4594,187.45,1.06591
44086.53819,6.81897,21.2361,13.8856,84.3465,0.150544,53.4216,12.3542,189.821,1.0654
44086.54861,6.80661,21.4761,13.7119,84.505,0.151104,53.3613,12.3814,192.577,1.06583
44086.55903,6.78971,21.69,13.5397,84.9779,0.150615,53.6699,12.3809,194.948,1.066
44086.56944,6.8023,21.8258,13.2571,85.1656,0.150288,53.2124,12.4411,197.704,1.06617
44086.57986,6.77171,21.9267,12.8645,85.398,0.150102,53.5851,12.3313,199.498,1.06639
44086.59028,6.75471,21.9688,12.4504,85.6365,0.149545,53.7113,12.3364,201.228,1.06678
44086.60069,6.73426,21.9617,12.1234,85.8795,0.150538,54.3618,12.2179,202.766,1.06728
44086.61111,6.72403,21.9407,11.6837,85.7993,0.148101,54.337,12.1696,204.048,1.06783
44086.62153,6.70352,21.8706,11.2915,86.1548,0.149626,55.2099,11.9907,205.009,1.06826
44086.63194,6.69659,21.7614,10.7781,86.266,0.148678,55.2856,12.0363,205.65,1.06894
44086.64236,6.68393,21.6117,10.2785,86.1235,0.147411,55.0656,12.0801,206.483,1.06932
44086.65278,6.65306,21.4579,9.76125,86.3504,0.147937,55.3802,11.9687,206.932,1.06978
44086.66319,6.64261,21.2877,9.21679,86.2118,0.147684,55.307,12.0019,207.445,1.07046
44086.67361,6.62299,21.0731,8.65122,85.9675,0.146971,55.374,11.9712,207.893,1.07149
44086.68403,6.59879,20.8643,8.04759,85.9561,0.146446,56.1314,11.7938,207.637,1.07215
44086.69444,6.57339,20.6365,7.41292,85.595,0.145109,56.317,11.7073,207.06,1.07282
44086.70486,6.55366,20.4132,6.7475,85.278,0.143382,56.8409,11.5541,206.483,1.07349
44086.71528,6.51222,20.2027,6.04288,84.6896,0.143419,57.3009,11.4427,205.586,1.07433
44086.72569,6.45468,19.9717,5.2842,84.327,0.142642,57.4826,11.4172,204.945,1.07524
44086.73611,6.42107,19.7411,4.55251,84.0625,0.14238,56.6406,11.5983,202.638,1.07607
44086.74653,6.39087,19.5136,3.87478,84.1255,0.142158,56.8338,11.5451,200.78,1.07684
44086.75694,6.34228,19.2933,3.29678,84.2386,0.143045,57.9441,11.4057,198.537,1.07745
44086.76736,6.32459,19.0774,2.82591,84.2082,0.143357,57.4649,11.5234,195.909,1.07823
44086.77778,6.29087,18.8851,2.45646,84.3222,0.143561,57.1933,11.6362,193.923,1.07877
44086.78819,6.28471,18.7122,2.16634,84.8838,0.14554,57.2631,11.6591,191.68,1.07931
44086.79861,6.25561,18.5572,1.94535,85.228,0.144808,57.7966,11.6507,189.501,1.07983
44086.80903,6.238,18.4106,1.77837,85.3614,0.14628,57.0095,11.8121,187.13,1.08018
44086.81944,6.23764,18.2723,1.65364,85.5129,0.14743,57.4608,11.7623,185.079,1.08067
44086.82986,6.21892,18.1519,1.56281,86.1198,0.14788,57.1565,11.8978,183.22,1.08092
44086.84028,6.21514,18.0288,1.49638,86.1858,0.149531,57.4794,11.8723,181.618,1.0813
44086.85069,6.20332,17.9167,1.44886,86.4262,0.150293,56.8023,12.0926,179.439,1.08173
44086.86111,6.19616,17.8239,1.41676,86.5912,0.150081,57.0262,12.0605,178.093,1.08145
44086.87153,6.19476,17.7337,1.4051,86.7436,0.151079,57.5848,11.9971,176.363,1.08205
44086.88194,6.18648,17.6559,1.4011,86.6862,0.151962,56.9552,12.1416,175.21,1.08212
44086.89236,6.17936,17.5822,1.40375,86.9873,0.15239,57.0857,12.1338,173.736,1.0825
44086.90278,6.18377,17.5127,1.41597,86.8331,0.152793,56.5978,12.2222,172.39,1.08268
44086.91319,6.17548,17.4349,1.42217,86.7117,0.153086,56.5947,12.2751,170.916,1.0829
44086.92361,6.17185,17.3749,1.45221,86.7789,0.152851,56.4915,12.2944,169.762,1.08308
44086.93403,6.16712,17.3326,1.47353,86.8608,0.154272,56.2297,12.403,168.801,1.08319
44086.94444,6.16813,17.2849,1.49337,86.8769,0.154361,56.5616,12.3217,167.712,1.08333
44086.95486,6.16338,17.2386,1.50991,86.7969,0.154294,56.183,12.4303,166.238,1.08355
44086.96528,6.17021,17.2045,1.5227,86.4653,0.154222,56.1095,12.4428,165.34,1.08353
44086.97569,6.16435,17.1746,1.53858,86.4127,0.15567,56.4476,12.392,164.956,1.08362
44086.98611,6.16654,17.131,1.54966,86.4469,0.155765,56.7569,12.3451,164.059,1.08373
44086.99653,6.16408,17.0779,1.56137,86.2454,0.155163,56.5012,12.3966,163.162,1.08387
44087.00694,6.16395,17.0329,1.57572,86.1902,0.155978,56.0891,12.4745,162.969,1.08391
44087.01736,6.16612,16.9853,1.58431,85.9736,0.155353,56.2526,12.4622,162.136,1.08395
44087.02778,6.16366,16.9322,1.59796,85.8325,0.155479,56.132,12.4805,161.624,1.08409
44087.03819,6.16697,16.8805,1.61001,85.5643,0.154842,55.8622,12.5276,161.303,1.08417
44087.04861,6.16568,16.8315,1.62781,85.6501,0.154794,55.7112,12.6147,160.983,1.08423
44087.05903,6.16896,16.7675,1.64327,85.3162,0.155024,56.1472,12.4761,160.598,1.08439
44087.06944,6.16994,16.7063,1.66248,85.356,0.155544,55.6739,12.6306,159.957,1.08446
44087.07986,6.16626,16.6329,1.6818,84.8849,0.155567,56.2133,12.5259,159.252,1.08457
44087.09028,6.17297,16.5513,1.69785,84.6349,0.155559,55.7481,12.5795,158.676,1.08468
44087.10069,6.17277,16.482,1.71502,84.5709,0.155355,55.7464,12.6339,158.804,1.0847
44087.11111,6.17375,16.4208,1.72921,84.669,0.155139,55.8751,12.6289,158.611,1.08476
44087.12153,6.1724,16.3515,1.74273,84.3016,0.1555,55.6892,12.6165,158.227,1.08491
44087.13194,6.17681,16.2754,1.75834,84.0238,0.155934,56.3825,12.4821,158.227,1.08491
44087.14236,6.17195,16.1967,1.76884,83.7561,0.154767,55.757,12.6052,158.099,1.08506
44087.15278,6.17637,16.1206,1.78553,83.5316,0.154123,55.7191,12.6318,158.291,1.08515
44087.16319,6.17732,16.0473,1.79683,83.3315,0.155208,55.3815,12.6886,157.842,1.08525
44087.17361,6.18289,15.9672,1.80987,83.2635,0.154252,55.3328,12.7202,157.522,1.0853
44087.18403,6.18961,15.8858,1.82597,82.6131,0.154395,55.9229,12.6404,157.266,1.08539
44087.19444,6.18712,15.8261,1.84737,82.7101,0.153534,55.3383,12.7601,157.202,1.08548
44087.20486,6.18579,15.765,1.86304,82.8238,0.154784,55.9334,12.6537,156.945,1.08552
44087.21528,6.19028,15.7108,1.89121,82.3001,0.153764,55.5105,12.7027,156.689,1.0856
44087.22569,6.20057,15.6565,1.91534,82.2552,0.153892,55.6623,12.727,156.561,1.08561
44087.23611,6.19925,15.5982,1.94107,82.1109,0.152798,55.673,12.7118,156.433,1.08565
44087.24653,6.20837,15.5413,1.9771,81.6343,0.153531,55.241,12.8351,156.24,1.0856
44087.25694,6.21402,15.4843,2.03746,81.6296,0.154458,55.7052,12.6896,156.753,1.08555
44087.26736,6.21853,15.4341,2.1807,81.2916,0.153923,55.7441,12.6673,157.458,1.08546
44087.27778,6.22305,15.388,2.40722,80.885,0.153742,55.0644,12.7776,158.804,1.0853
44087.28819,6.22063,15.3501,2.69361,80.34,0.15403,55.3042,12.7152,159.765,1.08513
44087.29861,6.23334,15.3284,3.07975,80.1307,0.153739,55.3288,12.64,161.047,1.08486
44087.30903,6.24033,15.3365,3.59479,79.933,0.153475,54.9629,12.5884,162.713,1.08431
44087.31944,6.24854,15.365,4.46211,79.6806,0.153236,55.1913,12.4676,164.187,1.08402
44087.32986,6.26488,15.3989,5.18324,79.4923,0.152554,54.5839,12.4854,166.109,1.08334
44087.34028,6.28025,15.506,5.87558,79.5608,0.152289,54.1036,12.5233,168.096,1.08281
44087.35069,6.31197,15.6646,6.5646,79.6427,0.15129,54.2016,12.4105,170.788,1.08199
44087.36111,6.33916,15.8871,7.35246,79.293,0.150348,53.1569,12.6599,173.415,1.08118
44087.37153,6.3663,16.1057,8.01034,79.4983,0.14929,53.0561,12.5962,177.004,1.08032
44087.38194,6.4039,16.3637,8.81379,79.192,0.147592,51.3099,12.9946,181.939,1.07918
44087.39236,6.4509,16.7349,9.7638,79.2562,0.147399,51.2915,13.0979,187.578,1.07812
44087.40278,6.49218,17.2045,10.7014,79.1747,0.145536,51.7067,13.0301,193.218,1.07609
44087.41319,6.54603,17.6914,11.642,79.7099,0.145458,52.2935,12.8191,199.306,1.07474
44087.42361,6.59971,18.1875,12.5261,79.9726,0.144081,52.9917,12.5762,206.227,1.07311
44087.43403,6.65786,18.7382,13.4294,80.2709,0.145067,53.2711,12.4948,212.956,1.07165
44087.44444,6.69975,19.2892,14.2509,80.6199,0.146536,53.9739,12.1906,219.172,1.0703
44087.45486,6.77007,19.8322,14.7921,81.0251,0.145994,53.6354,12.2159,225.389,1.06932
44087.46528,6.80701,20.3536,15.2024,81.2053,0.146684,53.5544,12.182,230.708,1.06772
44087.47569,6.83698,20.8657,15.2126,81.5882,0.147318,53.9726,12.0405,236.027,1.06673
44087.48611,6.84863,21.3477,15.7435,81.912,0.149318,53.6056,12.0564,240.449,1.06629
44087.49653,6.87726,21.7978,15.5376,82.2607,0.147099,53.4619,12.0889,245.191,1.06519
44087.50694,6.89218,22.2173,15.9161,82.8805,0.147713,53.8229,11.9894,250.382,1.06475
44087.51736,6.9093,22.5564,15.5172,83.2035,0.14855,53.6835,11.9544,254.868,1.0644
44087.52778,6.89354,22.8556,15.6931,83.6377,0.147926,54.8061,11.7037,260.059,1.06422
44087.53819,6.88911,23.1075,15.5483,84.1066,0.148995,54.2047,11.7905,263.007,1.06402
44087.54861,6.8745,23.3273,14.5837,84.0677,0.148511,54.822,11.6454,267.749,1.064
44087.55903,6.85872,23.4111,14.681,84.4714,0.148172,54.6287,11.6653,271.466,1.06416
44087.56944,6.84637,23.5703,14.5624,84.7169,0.148526,54.0155,11.7822,274.991,1.06445
44087.57986,6.81812,23.5447,14.1273,84.9123,0.148905,54.8097,11.6143,278.9,1.065
44087.59028,6.79214,23.5262,13.5427,84.9289,0.14796,54.7841,11.5807,281.976,1.06505
44087.60069,6.76841,23.5149,13.3974,85.1626,0.14739,55.4289,11.4627,285.052,1.06534
44087.61111,6.73558,23.4324,12.6106,84.9135,0.146219,55.256,11.515,286.975,1.0656
44087.62153,6.71969,23.3571,12.1058,85.0462,0.145796,55.5988,11.4217,288.641,1.06584
44087.63194,6.71181,23.3841,12.2109,85.153,0.146322,54.7202,11.6573,289.987,1.06605
44087.64236,6.70162,23.3628,11.7685,85.0983,0.146132,55.5736,11.4818,291.461,1.0665
44087.65278,6.63367,23.2493,10.7671,84.8198,0.143588,55.4794,11.5087,291.973,1.0668
44087.66319,6.61206,23.1472,10.1271,84.9808,0.144546,55.7703,11.425,292.037,1.06717
44087.67361,6.59494,23.0296,9.55655,84.7932,0.146007,55.9298,11.4301,291.717,1.06761
44087.68403,6.55743,22.9136,8.92591,84.6351,0.14373,56.0171,11.3753,291.653,1.06804
44087.69444,6.52664,22.7694,8.22733,84.2738,0.144715,56.5889,11.2527,291.076,1.06853
44087.70486,6.49349,22.5874,7.50348,83.9683,0.142765,57.1709,11.1344,289.602,1.06911
44087.71528,6.44104,22.4085,6.72675,83.6007,0.142684,57.0085,11.1269,287.423,1.06977
44087.72569,6.41459,22.22,5.87168,83.4169,0.142065,57.4479,11.1007,284.347,1.07029
44087.73611,6.3518,22.0389,5.01676,83.5882,0.142526,61.5809,10.3114,289.794,1.0708
44087.74653,6.07999,21.8734,4.2112,83.5503,0.145756,64.4495,10.022,276.785,1.07131
44087.75694,5.7682,21.732,3.50583,72.3747,0.141427,63.6038,10.2439,271.338,1.07203
44087.76736,5.78579,21.5893,2.92041,66.0382,0.139106,62.4139,10.4443,267.557,1.0723
44087.77778,5.79536,21.4258,2.45328,62.8617,0.136214,62.9473,10.3378,266.147,1.07282
44087.78819,5.80059,21.3128,2.08453,60.8637,0.138033,61.1441,10.637,263.776,1.07327
44087.79861,5.79671,21.1998,1.80632,58.8967,0.139349,61.1818,10.7032,258.905,1.0736
44087.80903,5.81675,21.0869,1.60098,56.8588,0.140365,61.3328,10.7134,253.138,1.07409
44087.81944,5.85959,20.9756,1.45164,55.8276,0.141841,60.2958,10.9363,250.959,1.07417
44087.82986,5.89103,20.8546,1.34781,55.1507,0.141604,61.2905,10.8304,247.306,1.0745
44087.84028,5.9226,20.7601,1.28112,52.7193,0.144268,60.5817,11.0292,238.975,1.0748
44087.85069,5.95764,20.6768,1.23658,51.4104,0.144416,60.3729,11.1377,238.077,1.07489
44087.86111,6.00981,20.5893,1.21246,49.8259,0.1469,61.6846,10.8882,234.681,1.07539
44087.87153,6.03686,20.4908,1.20335,48.9651,0.147875,59.7376,11.222,231.348,1.07553
44087.88194,6.11193,20.4118,1.20706,47.6129,0.14749,60.2642,11.1999,220.646,1.07591
44087.89236,6.12762,20.3134,1.2173,46.2676,0.149252,59.4491,11.3991,213.469,1.07616
44087.90278,6.15586,20.2082,1.23222,44.5274,0.151227,59.2321,11.5548,207.957,1.0763
44087.91319,6.21849,20.1363,1.25734,42.985,0.153276,59.1544,11.6513,199.69,1.07658
44087.92361,6.2834,20.0478,1.29112,42.039,0.155381,59.481,11.6134,189.565,1.0771
44087.93403,6.35521,19.9621,1.32727,40.6492,0.157218,59.0699,11.7071,174.825,1.07748
44087.94444,6.42363,19.875,1.36537,39.6376,0.15698,59.4372,11.7829,174.376,1.0777
44087.95486,6.38913,19.7839,1.41157,39.3812,0.159725,58.8792,11.9745,174.889,1.07799
44087.96528,6.42554,19.6846,1.4595,38.3297,0.160511,59.0746,11.98,171.813,1.07817
44087.97569,6.41734,19.5908,1.50814,37.406,0.162944,58.6969,12.0731,166.494,1.07849
44087.98611,6.4263,19.4888,1.55952,36.5175,0.163331,58.6222,12.1698,157.073,1.07891
44087.99653,6.44331,19.3993,1.61314,35.8369,0.164873,58.6516,12.2084,143.808,1.0793
44088.00694,6.52907,19.3112,1.67014,35.3968,0.168419,57.9861,12.355,137.399,1.0794
44088.01736,6.53006,19.219,1.73638,35.9125,0.16823,57.898,12.4275,132.336,1.07971
44088.02778,6.52532,19.1227,1.80554,33.9755,0.168967,58.2839,12.4728,124.646,1.0797
44088.03819,6.57105,19.032,1.87172,33.4073,0.171233,58.5157,12.4739,115.162,1.07999
44088.04861,6.60534,18.9496,1.93961,33.1376,0.173949,57.4449,12.8322,105.421,1.08029
44088.05903,6.60408,18.8672,2.00291,31.8539,0.176426,56.0539,13.1971,103.049,1.08084
44088.06944,6.58331,18.7876,2.06115,31.5231,0.176436,56.8041,12.9996,92.7316,1.08114
44088.07986,6.61414,18.6641,2.12996,31.4805,0.177476,56.2034,12.9503,97.4099,1.08123
44088.09028,6.58297,18.5504,2.21598,29.56,0.184936,56.2291,12.8465,101.255,1.08155
44088.10069,6.57478,18.4421,2.30257,28.9982,0.188656,56.6046,12.7363,97.6662,1.08215
44088.11111,6.57349,18.349,2.39886,28.2394,0.189941,56.7035,12.7317,87.9252,1.08269
44088.12153,6.58026,18.2627,2.51162,27.9127,0.18979,56.6583,12.8341,79.466,1.08288
44088.13194,6.6066,18.1834,2.6387,27.2022,0.191917,59.1822,12.3805,71.1989,1.08404
44088.14236,6.62836,18.1095,2.76928,27.3574,0.191563,58.9517,12.5892,65.1749,1.08465
44088.15278,6.65011,18.0193,2.91083,27.6794,0.192476,58.1008,12.8258,54.6649,1.08572
44088.16319,6.67418,17.9331,3.0624,28.9241,0.192169,57.2855,13.1734,45.4366,1.08582
44088.17361,6.69712,17.8525,3.21356,28.6924,0.190267,57.2393,13.3597,41.0788,1.08651
44088.18403,6.7051,17.7761,3.36234,28.5116,0.190631,56.3409,13.6692,40.6302,1.08679
44088.19444,6.70734,17.7078,3.51019,28.513,0.191042,56.749,13.5959,30.8251,1.08698
44088.20486,6.72109,17.63,3.65548,28.2711,0.191615,55.9854,13.9198,26.0828,1.08738
44088.21528,6.72447,17.5522,3.79605,27.7315,0.193871,56.0856,13.9558,21.5327,1.08735
44088.22569,6.72901,17.4731,3.92909,27.4971,0.193356,56.4805,13.8796,16.2777,1.08734
44088.23611,6.72894,17.3967,4.05744,26.5295,0.197664,55.8665,14.0108,12.6248,1.08722
44088.24653,6.72541,17.3272,4.19822,25.778,0.200134,55.9871,13.9666,9.2283,1.087
44088.25694,6.72303,17.2549,4.38574,25.3206,0.200658,55.555,14.0223,10.3178,1.08689
44088.26736,6.72297,17.1923,4.68188,24.3356,0.198346,55.5615,14.0483,11.6636,1.08655
